Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,198.54,95.28,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,787.33,143.45,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,765.58,125.87,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1289.07,178.54,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1171.71,177.1,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Naledi,300-225,Africa,south,South Africa,jungle,407.82,137.8,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,803.21,162.7,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,716.4,129.21,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,347.11,102.25,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1279.25,160.43,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,548.89,111.43,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1183.04,166.92,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,177.48,123.61,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,237.95,92.4,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1018.36,166.12,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1037.05,152.32,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,299.35,135.82,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,351.01,142.68,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,300-225,Africa,south,South Africa,jungle,314.19,141.24,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,578.0,118.88,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,481.3,112.65,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,486.04,124.35,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1275.03,177.83,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,387.14,133.43,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,545.88,128.71,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1277.29,168.85,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,367.07,135.35,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,128.45,115.16,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,986.12,151.45,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,489.48,110.63,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,682.55,142.48,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,289.32,114.73,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,730.06,144.33,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1260.26,168.12,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1041.68,137.85,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1133.6,149.69,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,342.48,114.57,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,989.77,164.04,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,107.64,89.23,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,120.25,86.28,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,646.21,124.55,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,360.05,112.31,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,515.04,98.2,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1014.62,161.11,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1116.16,152.44,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1172.75,164.47,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1225.06,178.89,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,259.16,115.08,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,340.14,114.17,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1141.91,148.56,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1030.43,164.63,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,727.23,127.28,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1276.6,166.52,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,281.31,114.49,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,572.3,105.2,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,489.77,111.03,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Naledi,300-225,Africa,south,South Africa,jungle,294.46,146.04,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,555.25,108.76,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,753.83,158.34,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1093.99,151.08,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Afarensis,3.9 - 2.9 ,Africa,oriental,Kenya,mixed,378.64,120.73,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,551.31,109.62,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,762.94,121.11,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1250.8,169.58,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Naledi,300-225,Africa,south,South Africa,jungle,373.22,136.91,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,402.87,127.96,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,276.07,115.32,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Boisei,2.3-1.2 ,Africa,oriental,Ethiopia,forest,481.48,100.43,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1081.93,161.34,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,689.02,121.22,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,375.02,115.3,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,481.68,111.71,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1311.31,170.04,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1016.07,178.51,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,390.11,121.59,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,718.83,151.16,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1048.14,140.52,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Robustus,1.9-1 ,Africa,south,South Africa,jungle,499.19,116.3,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1054.01,165.35,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,695.77,132.78,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,354.02,109.42,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,432.25,112.64,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,394.72,120.46,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,369.56,117.21,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,821.13,156.46,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,450.76,120.98,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1330.25,165.33,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,617.5,115.18,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,998.78,162.06,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,1.8,Asia ,euroAsia,Georgia,savannah,731.44,144.36,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,305.48,122.01,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,293.97,123.51,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.5-2.4 ,Africa,south,South Africa,forest-gallery,603.47,107.11,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
"Homo Neanderthalensis
",230-40,Europa,central-europe,Germany,cold forest,1094.16,161.04,big,very modern,little protruding,very reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,364.0,104.56,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1052.23,170.04,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,193.28,93.52,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,976.86,161.15,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Anamensis,4.2- 3.9 ,Africa,oriental,Kenya,forest-gallery,331.57,117.89,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Erectus,1.3-1.1 ,Asia ,easter-Asia,Indonesia,savannah,1090.37,161.81,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,309.8,115.12,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,413.49,128.78,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4,Africa,oriental,Ethiopia,mixed,274.95,104.12,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Orrorin tugenencin,6,Africa,oriental,Kenya,forest,119.44,118.28,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,811.87,120.18,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,188.85,88.52,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Habilis,2.5-1.6 ,Africa,oriental,Ethiopia,savannah,807.16,139.18,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Rudolfensis,2.8-1.9 ,Africa,oriental,Kenya,savannah,672.39,122.03,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Sapiens,300-3,Africa,oriental,Kenya,all,1234.72,163.65,very small,very modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Rodhesiensis,600-125,Africa,oriental,Ethiopia,savannah,1137.78,143.99,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Floresiensis,100-50,Asia ,easter-Asia,Indonesia,peninsular,230.08,109.97,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Sahelanthropus tchadensis,7,Africa,central,Republic of Chad,mixed,142.77,98.69,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,427.36,115.1,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Sediba,1.9,Africa,south,South Africa,mixed,330.2,103.07,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Heidelbergensis,500-250,Europa,central-europe,Germany,cold forest,1322.18,167.14,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Bahrelghazali,3.5- 3 ,Africa,central,Republic of Chad,mixed,252.18,119.95,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,783.42,154.28,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Garhi,2.5,Africa,oriental,Ethiopia,mixed,392.53,121.67,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Paranthropus Aethiopicus,2.6,Africa,oriental,Kenya,forest-savanna,429.45,115.11,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.8-1.4 ,Africa,oriental,Kenya,savannah,783.65,164.83,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,1ma-800,Europa,west,Spain,savannah,1040.9,173.04,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
